"nome","ementa"
"ADI 5585","Ação Direta de Inconstitucionalidade. Constitucional. Lei Estadual 6.844/2016 do estado do Piauí. Instalação de Equipamentos Tecnológicos para Bloqueio de Sinal de Telecomunicações e/ou Radiocomunicações nos Estabelecimentos Penais. Competência Privativa da União Para Legislar Sobre Telecomunicações. Precedentes. Procedência da Ação. 1. A orientação majoritária do Supremo Tribunal Federal, ressalvada a posição deste Relator, assentou que a determinação, por lei estadual, da instalação de equipamentos tecnológicos para bloqueio de sinal de telecomunicações e/ou radiocomunicações nos estabelecimentos penais e centros socioeducativos invade a competência privativa da União para legislar sobre telecomunicações (arts. 21, XI e 22, IV, CRFB). Precedentes: ADI 3.835, rel. Min. Marco Aurélio, ADI 4.861, rel. Min. Gilmar Mendes, ADI 5.253, rel. Min. Dias Toffoli, ADI 5.327, rel. Min. Dias Toffoli, ADI 5.356, rel. Min. Edson Fachin, redator para o acórdão Min. Marco Aurélio. 2. Ação Direta de Inconstitucionalidade julgada procedente."
"ADI 5300","ADI. DISPOSITIVO DA CONSTITUIÇÃO DO ESTADO DO AMAPÁ QUE SUBMETE O PROCURADOR-GERAL DE JUSTIÇA DO ESTADO À FISCALIZAÇÃO DA ASSEMBLEIA LEGISLATIVA SOB PENA DE CRIME DE RESPONSABILIDADE. PRINCÍPIO DA SIMETRIA E USURPAÇÃO DA COMPETÊNCIA PRIVATIVA DA UNIÃO. INCONSTITUCIONALIDADE. 1. O art. 50, caput e § 2º, da Constituição Federal traduz norma de observância obrigatória pelos Estados-membros, que, por imposição do princípio da simetria (art. 25, CF), não podem ampliar o rol de autoridades sujeitas à fiscalização direta pelo Poder Legislativo e à sanção por crime de responsabilidade. 2. É competência privativa da União (art. 22, I, CF) legislar sobre crime de responsabilidade. Enunciado 46 da Súmula Vinculante do Supremo Tribunal Federal. 3. Precedentes: ADI 3.279, Rel. Min. CEZAR PELUSO, Tribunal Pleno, DJe 15/2/2012; ADI 4791, Rel. Min. TEORI ZAVASCKI, Tribunal Pleno, DJe de 23/4/2015; ADI 4792, Relª. Minª. CÁRMEN LÚCIA, Tribunal Pleno, DJe de 23/4/2015; ADI 2220, Rel. Min. CÁRMEN LÚCIA, Tribunal Pleno, DJe de 07/12/2011; e ADI 1901, Rel. Min. ILMAR GALVÃO, Tribunal Pleno, DJ 9/5/2003. 4. Ação direta julgada procedente."
"ADI 5723","AÇÃO DIRETA DE INCONSTITUCIONALIDADE. DIREITO CONSTITUCIONAL. CONVERSÃO DE RITO. JULGAMENTO DEFINITIVO DA AÇÃO. LEI Nº 10.273/2014 DO ESTADO DA PARAÍBA. CRIAÇÃO DE OBRIGAÇÕES PARA CONCESSIONÁRIAS DE SERVIÇO DE TELEFONIA FIXA E MÓVEL. SERVIÇOS DE TELECOMUNICAÇÕES. INCONSTITUCIONALIDADE FORMAL POR VIOLAÇÃO À COMPETÊNCIA EXCLUSIVA DA UNIÃO (ARTS. 21, XI, 22, IV E 175, CF/88). PRECEDENTES. 1. Conversão do rito do art. 10 para o rito do art. 12 da Lei 9.868/99, considerando (i) a não complexidade da questão constitucional posta; (ii) elevado grau de instrução dos autos; e (iii) a baixa utilidade do rito inicialmente adotado para o presente caso. Precedentes: ADI 5.098, Rel. Min. Alexandre de Moraes; ADI 4.925, Rel. Min. Teori Zavascki; ADI 4.163, Rel. Min. Cezar Peluso. 2. É inconstitucional, por vício formal, a Lei nº 10.273/2014, do Estado da Paraíba, que criou obrigações para as concessionárias de serviços de telefonia fixa ou móvel, de TV por assinatura ou de internet, em razão da violação à competência privativa da União para explorar os serviços de telecomunicações e legislar a seu respeito. Nas hipóteses em que verificadas essas razões, o Plenário desta Corte tem entendido adequada a conversão do rito com vista a se emitir pronunciamento jurisdicional definitivo. Precedentes: ADI 2.337, Rel. Min. Celso de Mello; ADI 4.369, Rel. Min. Marco Aurélio; ADI 3.322, Rel. Min. Gilmar Mendes; ADI 4.533, Rel. Min. Ricardo Lewandowski; ADI 4.083, Rel. Min. Cármen Lúcia; ADI 5.253, Rel. Min. Dias Toffoli ; ADI 4.478, Redator do acórdão Min. Luiz Fux; ADI 5.569, Rel. Min. Rosa Weber, ADI 5.585, Rel. Min. Edson Fachin; ADI 5.098, Rel. Min. Alexandre de Moraes; ADI 3.533, Rel. Min. Eros Grau; ADI 2.615, Rel. Min. Nelson Jobim. 3. Ação direta de inconstitucionalidade cujo pedido se julga procedente, para declarar, por vício formal, a inconstitucionalidade da Lei nº 10.273, de 09.04.2014, do Estado da Paraíba, em sua integralidade."
"ADI 4544","DIREITO CONSTITUCIONAL E ADMINISTRATIVO. AÇÃO DIRETA DE INCONSTITUCIONALIDADE. PENSÃO VITALÍCIA PARA EX-GOVERNADORES DO ESTADO DE SERGIPE (ART. 263 DA CONSTITUIÇÃO ESTADUAL). DESEQUIPARAÇÃO SEM FUNDAMENTO CONSTITUCIONALMENTE LEGÍTIMO. VIOLAÇÃO AOS PRINCÍPIOS DA IGUALDADE, REPUBLICANO E DEMOCRÁTICO. INCONSTITUCIONALIDADE. PRECEDENTES. 1. O benefício instituído pela norma impugnada – subsídio mensal e vitalício para ex-governadores, igual aos vencimentos do cargo de Desembargador do Tribunal de Justiça – é pago sem qualquer justificativa constitucionalmente legítima, representando inequívoca violação aos princípios da igualdade, republicano e democrático, consoante firme jurisprudência desta Corte. Precedentes: ADI-MC 4.552, Rel. Min. Cármen Lúcia; ADI 3.853, Rel. Min. Cármen Lúcia; SS 3.242, Rel. Min. Ellen Gracie; RE 252.352, Rel. Min. Sepúlveda Pertence; ADI 1.461, Rel. Min. Maurício Corrêa. 2. A continuidade do pagamento inconstitucional desse subsídio mensal e vitalício a ex-detentor de cargo eletivo traduz-se também em grave lesão à economia pública, já que não há qualquer contraprestação de serviço público por parte do beneficiado. 3. Ação direta de inconstitucionalidade cujo pedido se julga procedente."
"ADI 3785","Ação direta de inconstitucionalidade. Resolução Administrativa nº 98, de 28 de abril de 2005, do Tribunal Regional do Trabalho da 13ª Região. Incorporação dos quintos adquiridos pelo exercício de função comissionada no período compreendido entre a edição da Lei nº 9.624/1998 e a Medida Provisória nº 2.225-45/2001. Impossibilidade. Precedente. Aumento de remuneração sem autorização por lei formal. Violação dos arts. 37, inciso X, e 96, inciso II, b, da Constituição Federal. Procedência da ação. 1. No julgamento, com repercussão geral, do RE nº 638115, o Supremo Tribunal Federal assentou a impossibilidade de incorporação de quintos decorrentes do exercício de funções comissionadas no período compreendido entre a edição da Lei nº 9.624/1998 e a MP nº 2.225-48/2001 (Rel. Min. Gilmar Mendes, Plenário, DJe de 3/8/15). 2. Atestada a ausência de fundamento legal para a concessão das vantagens pecuniárias de que trata a Resolução Administrativa nº 98, de 28 de abril de 2005, do Tribunal Regional do Trabalho da 13ª Região, percebe-se que esse diploma normativo, na prática, concedeu um aumento remuneratório sem lei específica, em violação dos arts. 37, inciso X; e 96, inciso II, b, da Constituição Federal. Precedentes: ADI nº 1776, de minha relatoria, Tribunal Pleno, DJe de 8/10/14; ADI nº 3.202/RN, Rel. Min. Cármen Lúcia, Tribunal Pleno, DJe de 21/5/14; ADI nº 2.104, Rel. Min. Eros Grau, Tribunal Pleno, DJe de 22/2/08; ADI nº 662/MG, Rel. Min. Eros Grau, DJ de 10/11/06; ADI nº 666, Rel. Min. Moreira Alves, Tribunal Pleno, DJ de 1º/10/93. 3. Ação direta julgada procedente."
"ADI 3666","DIREITO CONSTITUCIONAL. AÇÃO DIRETA DE INCONSTITUCIONALIDADE. LEIS Nº 2.835/2001; 3.100/2002; E 3.656/2005, TODAS DO DISTRITO FEDERAL, QUE INSTITUEM NOVOS DIREITOS, DEVERES E CRIAM ÓRGÃOS E CARGOS EM COMISSÃO, NO ÂMBITO DA POLÍCIA CIVIL DO DISTRITO FEDERAL. VIOLAÇÃO AOS ARTS. 21, XIV, E 24, § 1º, DA CONSTITUIÇÃO FEDERAL. MODULAÇÃO DOS EFEITOS TEMPORAIS. ART. 27 DA LEI Nº 9.868/99. EFICÁCIA DIFERIDA POR 24 MESES. PRECEDENTES. 1. As Leis nº 2.835/2001; nº 3.100/2002; e nº 3.656/2005, todas do Distrito Federal, ao promoveram a reestruturação da Polícia Civil/DF, instituíram, extinguíram e transformaram órgãos internos, bem como criaram novos cargos comissionados, dentre outras alterações substanciais. Versaram, assim, sobre a estrutura administrativa do Polícia Civil/DF e o regime jurídico dos respectivos servidores, em afronta direta ao disposto no art. 21, XIV, da Constituição Federal, que fixa a competência da União para manter e organizar a Polícia Civil do Distrito Federal. 2. Embora a Constituição reconheça, em seu art. 24, XVI, competência concorrente à União, Estados e Distrito Federal para legislar sobre a organização, garantias, direitos e deveres da respectiva polícia civil, importa, no específico caso da Polícia Civil/DF, realizar leitura sistemática, diante da pluralidade de dispositivos constitucionais pertinentes. Impõe-se reconhecer que o art. 21, XIV, CF/88, trata tanto de competência administrativa quanto legislativa, sendo a matéria, portanto, atribuída prioritariamente à União. Inclusive, por disposição expressa do art. 24, § 1º, CF/88, não compete ao Distrito Federal editar normas gerais, se já existentes de caráter federal, como ocorre na hipótese. 3. A jurisprudência desta Corte é firme no sentido de que a União possui competência exclusiva para organizar e manter a Polícia Civil do Distrito Federal. Neste sentido: ADI 2.881, Rel. Min. Carlos Velloso; ADI 2.102 MC, Rel. Min. Sepúlveda Pertence; ADI 3.791, Rel. Min. Ayres Britto. 4. As leis distritais impugnadas, ao criarem cargos em comissão e novos órgãos, também instituíram novas obrigações pecuniárias a serem suportadas pela União. É vedado ao Distrito Federal, todavia, valer-se de leis distritais para instituir encargos financeiros a serem arcados pela União, fato que reforça a tese de não haver mera fruição de competência concorrente reconhecida ao Distrito Federal, e referenda a própria inconstitucionalidade dos atos impugnados. Nesse sentido: RE 241.494, Redator do acórdão Min. Maurício Corrêa. 5. A organização da Polícia Civil do Distrito Federal, tal como promovida pelas leis impugnadas, vigora há mais de uma década, sem que tenha sido declarada inconstitucional. Assim, verificam-se nos autos razões de segurança jurídica, excepcional interesse social e boa-fé que recomendam a modulação dos efeitos temporais da decisão. Para preservar os atos já praticados e permitir que a União possa, em tempo razoável, reestruturar de modo adequado o Órgão, devem ser condicionados os efeitos desta declaração de inconstitucionalidade. Precedentes: ADI 3.415-ED-Segundos, Rel. Min. Alexandre de Moraes; ADI 4.125, Rel. Min. Cármen Lúcia; ADI 3.819, Rel. Min. Eros Grau; ADI 2.240, Rel. Min. Eros Grau. Pelos mesmos fundamentos, importa ressalvar os efeitos do acórdão para eventuais hipóteses de aposentadoria, conforme também tem referendado esta Corte: ADI 1.301-ED, Rel. Min. Roberto Barroso; ADI 4.876, Rel. Min. Dias Toffoli; ADI 3.609, Rel. Min. Dias Toffoli. 6. Ação cujo pedido se julga procedente, com a declaração de inconstitucionalidade das Leis nº 2.835/2001; nº 3.100/2002; e nº 3.656/2005, todas do Distrito Federal. Modulação (i) para preservar os atos já praticados; (ii) para que a decisão produza efeitos a partir de 24 (vinte e quatro) meses, contados da data da sessão de julgamento; e (iii) para ressalvar da incidência do acórdão, exclusivamente para efeitos de aposentadoria, os servidores que já estejam aposentados e aqueles que implementaram os requisitos para aposentação até a data da publicação da ata de julgamento."
"ADI 5024","DIREITO CONSTITUCIONAL. AÇÃO DIRETA DE INCONSTITUCIONALIDADE. LEI Nº 14.783/2012 DO ESTADO DE SÃO PAULO, QUE CRIA CARGOS EFETIVOS DE ADVOGADOS NO QUADRO ADMINISTRATIVO DO PODER JUDICIÁRIO. ALEGAÇÃO DE VIOLAÇÃO AO ART. 132, CAPUT, DA CONSTITUIÇÃO FEDERAL. NECESSIDADE DE INTERPRETAÇÃO CONFORME. PRECEDENTES. 1. As Advocacias Públicas de que tratam os arts. 131 e 132 da Constituição Federal são órgãos autônomos vinculados ao Poder Executivo da União ou Estado, o que não obsta a defesa de interesses cotidianos próprios dos demais Poderes do ente federativo a que pertencerem. Excepcionalmente, admite-se a existência de órgão de assessoramento jurídico, com finalidade, inclusive, postulatória, quando o objetivo for zelar pela independência funcional e as prerrogativas inerentes ao Poder. Precedentes: RE 595.176-AgR, Rel. Min. Joaquim Barbosa; ADI 94, Rel. Min. Gilmar Mendes; ADI 175, Rel. Min. Octavio Galloti; ADI-MC 825, Rel. Min. Ilmar Galvão. 2. Necessária interpretação conforme à Constituição, com o propósito de permitir a representação judicial somente nos casos em que o Poder Judiciário estadual atuar em nome próprio, na defesa de sua autonomia, prerrogativas e independência em face dos demais Poderes. Nesse sentido: ADI 1.557 DF, Rel. Min. Ellen Gracie. 3. Ação direta de inconstitucionalidade julgada parcialmente procedente, para dar interpretação conforme ao parágrafo único do art. 2º da Lei 14.783/2012 do Estado de São Paulo."
"ADI 4019","AÇÃO DIRETA DE INCONSTITUCIONALIDADE. DIREITO CONSTITUCIONAL. LEI 12.155/2005 DO ESTADO DE SÃO PAULO. INSTITUIÇÃO DE OBRIGAÇÃO PARA AS EMPRESAS CONCESSIONÁRIAS DE SERVIÇOS DE TELECOMUNICAÇÕES DE DISCRIMINAR DETALHADAMENTE NAS CONTAS DE TELEFONIA FIXA E MÓVEL OS PULSOS COBRADOS NAS LIGAÇÕES LOCAIS, SOB PENA DE MULTA. INCONSTITUCIONALIDADE FORMAL. COMPETÊNCIA PRIVATIVA DA UNIÃO PARA LEGISLAR SOBRE TELECOMUNICAÇÕES. (ARTIGO 22, IV, DA CONSTITUIÇÃO FEDERAL). AFASTAMENTO DA COMPETÊNCIA CONCORRENTE DO ESTADO-MEMBRO PARA LEGISLAR SOBRE CONSUMO (ARTIGO 24, V E VIII, DA CONSTITUIÇÃO FEDERAL). USUÁRIO DE SERVIÇOS PÚBLICOS CUJO REGIME GUARDA DISTINÇÃO COM A FIGURA DO CONSUMIDOR (ARTIGO 175, PARÁGRAFO ÚNICO, II, DA CONSTITUIÇÃO FEDERAL). AÇÃO DIRETA DE INCONSTITUCIONALIDADE CONHECIDA E JULGADO PROCEDENTE O PEDIDO. 1. O serviço de telecomunicações é da competência legislativa da (artigo 22, IV, da Constituição Federal), que resta violada quando lei estadual institui, para as empresas concessionárias de serviços de telecomunicações, a obrigação de discriminar detalhadamente nas contas de telefonia fixa e móvel os pulsos cobrados nas ligações locais, sob pena de multa, ainda que a pretexto de proteger o consumidor ou a saúde dos usuários. 2. A competência concorrente dos estados-membros para dispor sobre direito do consumidor (artigo 24, V e VIII, da Constituição Federal) não pode conduzir à frustração da teleologia das normas que estabelecem as competências legislativa e administrativa privativas da União em matéria de telecomunicações. Precedentes: ADI 5.253, Rel. Min. Dias Toffoli, Plenário, DJe de 01/08/2017; ADI 4.861, Rel. Min. Gilmar Mendes, Plenário, DJe de 01/08/2017; ADI 4.477, Rel. Min. Rosa Weber, Plenário, DJe de 31/05/2017; ADI 2.615, Rel. Min. Eros Grau, Rel. p/ acórdão Min. Gilmar Mendes, DJe de 18/05/2015; ADI 4.478, Rel. Min. Ayres Britto, Rel. p/ acórdão Min. Luiz Fux, DJe de 29.11.2011. 3. O consumidor e o usuário de serviços públicos ostentam regimes jurídicos diversos. Enquanto o primeiro se subsume ao disposto no Código de Defesa do Consumidor, este último observa a lógica da solidariedade social (artigo 3º, I, da Constituição Federal) e encontra sede específica na cláusula ""direitos dos usuários"", prevista no artigo 175, parágrafo único, II, da Constituição Federal. 4. Ação direta conhecida e julgado procedente o pedido, para declarar a inconstitucionalidade da Lei 12.155/2005 do Estado de São Paulo."
"ADI 5111","Ação direta de inconstitucionalidade. Parágrafo único do art. 28 da Resolução nº 49, de 27/12/05, da Assembleia Legislativa do Estado de Roraima. Exaurimento da eficácia. Prejudicialidade. Artigo 3º, inciso I, parte final, da Lei Complementar nº 54, de 31/12/01, do Estado de Roraima, com a redação conferida pela Lei Complementar nº 138, de 26/6/08. Violação do art. 40 da Constituição Federal. Norma de absorção obrigatória pela legislação infraconstitucional. Modulação dos efeitos. Procedência parcial. 1. Com a edição da Resolução nº 3/2015 da Assembleia Legislativa do Estado de Roraima, ocorreu o esvaziamento da eficácia do parágrafo único do art. 28 da Resolução nº 49/2005 do mesmo órgão. Nesses casos, tem decidido o Supremo Tribunal Federal pela extinção anômala do processo de controle normativo abstrato, motivada pela perda superveniente de seu objeto, que tanto pode decorrer da revogação pura e simples do ato impugnado como do exaurimento de sua eficácia. Precedentes: ADI nº 2859/DF, de minha relatoria, Tribunal Pleno, DJe de 21/10/16; ADI nº 4365/DF, de minha relatoria, Tribunal Pleno, DJe de 8/5/15; ADI nº 1.979/SC-MC, Tribunal Pleno, Rel. Min. Marco Aurélio, DJ de 29/9/06; ADI nº 885/DF, Tribunal Pleno, Rel. Min. Néri da Silveira, DJ de 31/8/01. 2. O art. 3º, inciso I, parte final, da Lei Complementar nº 54, de 31/12/01, do Estado de Roraima, com a redação conferida pela Lei Complementar nº 138, de 26/6/08, promove ampliação do rol previsto no art. 40 da Constituição Federal ao determinar que estão incluídos no regime próprio de previdência também os ""servidores declarados estáveis, nos termos da Constituição estadual"", expressão que acaba por abranger servidores estabilizados, embora não efetivos, de que trata o art. 19 do ADCT. Portanto, o preceito em tela viola o art. 40 da Constituição Federal, norma de absorção obrigatória pela legislação infraconstitucional, consoante jurisprudência da Suprema Corte. Precedentes: ADI nº 101/MG, Relator o Min. Celio Borja, Rel. p/ o ac. Min. Carlos Velloso, Tribunal Pleno, DJ de 7/5/93; ADI nº 178/RS, Rel. Min. Maurício Corrêa, Tribunal Pleno, DJ de 26/4/96; ADI nº 369/AC, Rel. Min. Moreira Alves, Tribunal Pleno, DJ de 12/3/99. 3. Modulação dos efeitos da declaração de inconstitucionalidade, nos termos do art. 27 da Lei nº 9.868/99, para que sejam ressalvados da decisão aqueles que, até a data de publicação da ata do julgamento, já estejam aposentados ou tenham preenchido os requisitos para a aposentadoria sob o regime próprio de previdência do Estado de Roraima, exclusivamente para efeito de aposentadoria. 4. Ação julgada parcialmente procedente."
"ADI 4962","AÇÃO DIRETA DE INCONSTITUCIONALIDADE. DIREITO CONSTITUCIONAL. LEI 6.968/1996, ALTERADA PELA LEI 7.111/1997, DO ESTADO DO RIO GRANDE DO NORTE. AUTORIZAÇÃO DE PORTE DE ARMA PARA AUDITORES FISCAIS DO TESOURO ESTADUAL. PRELIMINARES REJEITADAS. USURPAÇÃO DA COMPETÊNCIA DA UNIÃO. INCONSTITUCIONALIDADE. 1. Cabe à União, nos termos do art. 21, VI; e 22, I, da Constituição, a definição dos requisitos para a concessão do porte de arma de fogo e dos possíveis titulares de tal direito, inclusive no que se refere a servidores públicos estaduais ou municipais, em prol da uniformidade da regulamentação do tema no país, questão afeta a políticas de segurança pública de âmbito nacional (Precedentes: ADI 2.729, Rel. Min. LUIZ FUX, Tribunal Pleno, DJe de 11/2/2014; ADI 2.035-MC/RJ, Rel. Min. OCTAVIO GALLOTI, Tribunal Pleno, DJ de 4/8/2000; ADI 3.112, Rel. Min. RICARDO LEWANDOWSKI, Tribunal Pleno, DJ de 26/10/2007; AI 189.433-AGR/RJ, Segunda Turma, DJ de 21/11/1997; HC 113.592, Rel. Min. CÁRMEN LÚCIA, 2ª Turma, DJ de 3/2/2014). 2. Ação direta de inconstitucionalidade julgada procedente."
